Altium Designer Pick and Place Locations,,,,,,,
D:\FEDEVEL Academy\Tutorials\ESP32 with USBC\Project Outputs for ESP32 with USBC\Pick Place\Pick Place for ESP32 with USBC PCB V1I1(Prototype).csv,,,,,,,
,,,,,,,
========================================================================================================================,,,,,,,
File Design Information:,,,,,,,
,,,,,,,
Date:       28/05/24,,,,,,,
Time:       11:43,,,,,,,
Revision:   Not in VersionControl,,,,,,,
Variant:    Prototype,,,,,,,
Units used: mil,,,,,,,
,,,,,,,
Designator,Comment,Layer,Footprint,Center-X(mil),Center-Y(mil),Rotation,Description
U3,TL1963A-33DCYR,TopLayer,DCY0004A_N,780,290,0,IC REG LINEAR 3.3V 1.5A SOT223-4
U2,FT231XQ-R,TopLayer,FP-QFN-20-IPC_B,710,770,270,IC USB SERIAL FULL UART 20QFN
U1,ESP32-S3-MINI-1-N8,TopLayer,XCVR_ESP32-S3-MINI-1-N8,2395.039,500,270,"SMD Module, ESP32-S3FN8, 8 mb Sp"
SW2,PTS645SH50SMTR92LFS,TopLayer,FP-PTS645SH50SMTR92LFS-MFG,1400,750,180,SWITCH TACTILE SPST-NO 0.05A 12V
SW1,PTS645SH50SMTR92LFS,TopLayer,FP-PTS645SH50SMTR92LFS-MFG,1400,250,180,SWITCH TACTILE SPST-NO 0.05A 12V
R24,0R,TopLayer,RESC1005X37N,1935.984,448,0,RES 0 OHM JUMPER 1/16W 0402
R23,0R,TopLayer,RESC1005X37N,1935.984,518,0,RES 0 OHM JUMPER 1/16W 0402
R22,27R,TopLayer,RESC1005X37N,1970,790,0,RES 27 OHM 1% 1/16W 0402
R21,27R,TopLayer,RESC1005X37N,1970,840,0,RES 27 OHM 1% 1/16W 0402
R20,0R,TopLayer,RESC1005X37N,2135,145,180,RES 0 OHM JUMPER 1/16W 0402
R19,0R,TopLayer,RESC1005X37N,2035,145,180,RES 0 OHM JUMPER 1/16W 0402
R18,10K,TopLayer,RESC1005X37N,1010,830,90,RES SMD 10K OHM 1% 1/16W 0402
R17,10K,TopLayer,RESC1005X37N,1650,290,90,RES SMD 10K OHM 1% 1/16W 0402
R16,10K,TopLayer,RESC1005X37N,1010,650,270,RES SMD 10K OHM 1% 1/16W 0402
R15,5K1,TopLayer,RESC1005X37N,410,250,90,RES SMD 5.1K OHM 1% 1/16W 0402
R14,5K1,TopLayer,RESC1005X37N,410,150,270,RES SMD 5.1K OHM 1% 1/16W 0402
R13,10K,TopLayer,RESC1005X37N,890,610,0,RES SMD 10K OHM 1% 1/16W 0402
R12,5K1,TopLayer,RESC1005X37N,410,830,90,RES SMD 5.1K OHM 1% 1/16W 0402
R11,5K1,TopLayer,RESC1005X37N,410,730,270,RES SMD 5.1K OHM 1% 1/16W 0402
R10,4K7,TopLayer,RESC1005X37N,890,660,0,RES 4.7K OHM 1% 1/16W 0402
R8,0R,TopLayer,RESC1005X37N,600,590,90,RES 0 OHM JUMPER 1/16W 0402
R7,27R,TopLayer,RESC1005X37N,530,785,0,RES 27 OHM 1% 1/16W 0402
R6,27R,TopLayer,RESC1005X37N,530,735,0,RES 27 OHM 1% 1/16W 0402
R4,1K,TopLayer,RESC1005X37N,1790,800,270,RES 1K OHM 1% 1/16W 0402
R3,1K,TopLayer,RESC1005X37N,1790,200,90,RES 1K OHM 1% 1/16W 0402
R1,0R,TopLayer,RESC1005X37N,705.984,510,0,RES 0 OHM JUMPER 1/16W 0402
Q2,SS8050-G,TopLayer,FP-SS8050-G-IPC_B,1120,810,0,TRANS NPN 25V 1.5A SOT23-3
Q1,SS8050-G,TopLayer,FP-SS8050-G-IPC_B,1120,670,0,TRANS NPN 25V 1.5A SOT23-3
J4,217179-0001,TopLayer,FP-2171790001-MFG,157.579,220.079,270,CONN RCP USB2.0 TYP C 24P SMD RA
J3,217179-0001,TopLayer,FP-2171790001-MFG,157.579,779.921,270,CONN RCP USB2.0 TYP C 24P SMD RA
D8,AQ3045-01ETG,TopLayer,SOD882,335,167.205,90,TVS DIODE 5.3VWM 12VC SOD882
D7,AQ3045-01ETG,TopLayer,SOD882,335,232.795,270,TVS DIODE 5.3VWM 12VC SOD882
D6,AQ3045-01ETG,TopLayer,SOD882,340,370,0,TVS DIODE 5.3VWM 12VC SOD882
D5,AQ3045-01ETG,TopLayer,SOD882,335,737.205,90,TVS DIODE 5.3VWM 12VC SOD882
D4,AQ3045-01ETG,TopLayer,SOD882,335,822.795,270,TVS DIODE 5.3VWM 12VC SOD882
D3,AQ3045-01ETG,TopLayer,SOD882,340,630,0,TVS DIODE 5.3VWM 12VC SOD882
D2,RED,TopLayer,LED0402R,1730,800,270,LED RED 0402 SMD
D1,GREEN,TopLayer,LED0402G,1730,200,90,LED YLW-GRN 0402 SMD
C16,"1uF, 35V",TopLayer,CAPC1005X55N,1650,200,90,CAP CER 1UF 35V X5R 0402
C15,"100nF, 50V",TopLayer,CAPC1005X55N,2555,855,180,CAP CER 0.1UF 50V X7R 0402
C14,"10uF, 10V",TopLayer,CAPC1005X55N,2470,855,0,CAP CER 10UF 10V X5R 0402
C13,"10uF, 10V",TopLayer,CAPC1005X55N,530,220,270,CAP CER 10UF 10V X5R 0402
C12,"10uF, 10V",TopLayer,CAPC1005X55N,580,220,270,CAP CER 10UF 10V X5R 0402
C11,"4u7, 16V",TopLayer,CAPC1005X55N,580,360,90,CAP CER 4.7UF 16V X5R 0402
C10,"100nF, 50V",TopLayer,CAPC1005X55N,440,370,180,CAP CER 0.1UF 50V X7R 0402
C9,"100nF, 50V",TopLayer,CAPC1005X55N,530,850,0,CAP CER 0.1UF 50V X7R 0402
C8,"100nF, 50V",TopLayer,CAPC1005X55N,530,680,0,CAP CER 0.1UF 50V X7R 0402
C6,"100nF, 50V",TopLayer,CAPC1005X55N,910,800,180,CAP CER 0.1UF 50V X7R 0402
C5,"100nF, 50V",TopLayer,CAPC1005X55N,2640,855,180,CAP CER 0.1UF 50V X7R 0402
C4,"100nF, 50V",TopLayer,CAPC1005X55N,2640,145,0,CAP CER 0.1UF 50V X7R 0402
C3,"100nF, 50V",TopLayer,CAPC1005X55N,740,610,180,CAP CER 0.1UF 50V X7R 0402
C2,"4u7, 16V",TopLayer,CAPC1005X55N,740,560,180,CAP CER 4.7UF 16V X5R 0402
C1,"100nF, 50V",TopLayer,CAPC1005X55N,440,630,180,CAP CER 0.1UF 50V X7R 0402
